0,1,2
1.0,5.0,1.5
1.00125,5.00125,1.5
1.0087499999999998,5.00875,1.5
1.0237499999999997,5.023750000000001,1.5
1.0462499999999997,5.046250000000001,1.5
1.0762499999999997,5.076250000000001,1.5
1.1137499999999998,5.113750000000001,1.5
1.1587499999999997,5.158750000000001,1.5
1.2112499999999997,5.2112500000000015,1.5
1.2712499999999998,5.271250000000002,1.5
1.3387499999999999,5.338750000000002,1.5
1.41375,5.413750000000002,1.5
1.49625,5.4962500000000025,1.5
1.5862500000000002,5.586250000000003,1.5
1.682916666666667,5.68291666666667,1.5
1.782083333333334,5.782083333333336,1.5
1.8804166666666673,5.88041666666667,1.5
1.9795833333333341,5.979583333333336,1.5
2.0779166666666677,6.0779166666666695,1.5
2.177083333333335,6.177083333333336,1.5
2.2754166666666684,6.275416666666669,1.5
2.3745833333333355,6.3745833333333355,1.5
2.472916666666669,6.472916666666669,1.5
2.572083333333336,6.572083333333335,1.5
2.6704166666666698,6.670416666666669,1.5
2.769583333333337,6.769583333333335,1.5
2.8679166666666704,6.867083333333335,1.5
2.9670833333333375,6.962083333333336,1.5
3.065416666666671,7.054583333333336,1.5
3.164583333333338,7.144583333333337,1.5
3.262916666666672,7.232083333333337,1.5
3.362083333333339,7.316250000000005,1.5
3.4604166666666725,7.393750000000004,1.5
3.5595833333333395,7.4637500000000045,1.5
3.657916666666673,7.5262500000000045,1.5
3.75708333333334,7.581250000000004,1.5
3.855416666666674,7.628750000000005,1.5
3.954583333333341,7.668750000000005,1.5
4.0529166666666745,7.701250000000004,1.5
4.152083333333341,7.726250000000005,1.5
4.250416666666674,7.743750000000005,1.5
4.3495833333333405,7.753750000000005,1.5
4.447916666666674,7.756250000000004,1.5
4.54708333333334,7.751250000000004,1.5
4.645000000000007,7.740000000000004,1.5
4.742500000000007,7.727500000000004,1.5
4.840000000000007,7.715000000000003,1.5
4.937500000000007,7.702500000000003,1.5
5.035000000000007,7.690000000000003,1.5
5.132500000000007,7.677500000000003,1.5
5.2300000000000075,7.665000000000003,1.5
5.327500000000008,7.6525000000000025,1.5
5.425000000000008,7.640000000000002,1.5
5.522500000000008,7.627500000000002,1.5
5.620000000000008,7.615000000000002,1.5
5.717500000000008,7.602500000000002,1.5
5.815000000000008,7.590000000000002,1.5
5.9125000000000085,7.5775000000000015,1.5
6.010000000000009,7.565000000000001,1.5
6.107500000000009,7.552500000000001,1.5
6.205000000000009,7.540000000000001,1.5
6.302500000000009,7.527500000000001,1.5
6.400000000000009,7.515000000000001,1.5
6.497500000000009,7.5025,1.5
6.5950000000000095,7.49,1.5
6.69250000000001,7.4775,1.5
6.79000000000001,7.465,1.5
6.88750000000001,7.4525,1.5
6.98500000000001,7.4399999999999995,1.5
7.08250000000001,7.427499999999999,1.5
7.18000000000001,7.414999999999999,1.5
7.2775000000000105,7.402499999999999,1.5
7.375000000000011,7.389999999999999,1.5
7.472500000000011,7.377499999999999,1.5
7.570000000000011,7.364999999999998,1.5
7.667500000000011,7.352499999999998,1.5
7.765000000000011,7.339999999999998,1.5
7.862500000000011,7.327499999999998,1.5
7.9600000000000115,7.314999999999998,1.5
8.057500000000012,7.3024999999999975,1.5
8.155000000000012,7.289999999999997,1.5
8.252500000000012,7.277499999999997,1.5
8.350000000000012,7.264999999999997,1.5
8.447500000000012,7.252499999999997,1.5
8.545000000000012,7.239999999999997,1.5
8.642500000000013,7.2274999999999965,1.5
8.740000000000013,7.214999999999996,1.5
8.837500000000013,7.202499999999996,1.5
8.935000000000013,7.189999999999996,1.5
